
 
 ----------- 
 AdH Version 
 ----------- 
 Version 4.5 
 Compatible with Sedlib v1.3 
 
 --------------------- 
 AdH Build Information 
 --------------------- 
 SVN revision #  
 Build Date/Time: 2015.01.06 / 11:43:39 
 Built with DEBUG enabled 
 Built with XMS (*.dat) output file format 
 Built with STRUCTURES enabled 
 Built with Sedlib support enabled 
 Built with UMFPACK enabled 
 
 ------------------- 
 Runtime Information 
 ------------------- 
 AdH execution Date/Time: 2024.10.25 / 11:58:23 
 Launching AdH with project name: ADH_57_most Mesh 
 Launching AdH with run name: (unspecified) 
 AdH was launched with 1 processor 
alloc_adh :: allocating grid 
alloc_adh :: allocating physics 
--allocating 2d shallow water variables 
Successfully Initialized All ADH Variables 
ADH Binary Successfully Written 
 
adh_run_func :: tfinal = 2678400.000000  
Physics	Time	dt	Progress	Nonlinear Iteration	Linear Iterations	Max Resid Worst Node	Inc Max Worst Node	Nodes After Adaption 
HYD	2.79000000e+004	  3.000000e+002	%1.04	    2	0	8785	10034	   10553 
HYD	2.82000000e+004	  3.000000e+002	%1.05	    1	0	10254	10254	   10553 
HYD	2.82000000e+004	  3.000000e+002	%1.05	    2	0	10318	8675	   10553 
HYD	2.85000000e+004	  3.000000e+002	%1.06	    1	0	10254	10254	   10553 
HYD	2.85000000e+004	  3.000000e+002	%1.06	    2	0	8306	8675	   10553 
HYD	2.88000000e+004	  3.000000e+002	%1.08	    1	0	10254	10254	   10553 
HYD	2.88000000e+004	  3.000000e+002	%1.08	    2	0	5936	8675	   10553 
HYD	2.91000000e+004	  3.000000e+002	%1.09	    1	0	10254	10254	   10553 
HYD	2.91000000e+004	  3.000000e+002	%1.09	    2	0	5959	8675	   10553 
HYD	2.94000000e+004	  3.000000e+002	%1.10	    1	0	10254	10254	   10553 
HYD	2.94000000e+004	  3.000000e+002	%1.10	    2	0	8599	8675	   10553 
HYD	2.97000000e+004	  3.000000e+002	%1.11	    1	0	10254	10254	   10553 
HYD	2.97000000e+004	  3.000000e+002	%1.11	    2	0	8633	8675	   10553 
HYD	3.00000000e+004	  3.000000e+002	%1.12	    1	0	10254	10254	   10553 
HYD	3.00000000e+004	  3.000000e+002	%1.12	    2	0	10190	8675	   10553 
HYD	3.03000000e+004	  3.000000e+002	%1.13	    1	0	10254	10223	   10553 
HYD	3.03000000e+004	  3.000000e+002	%1.13	    2	0	10041	8765	   10553 
HYD	3.06000000e+004	  3.000000e+002	%1.14	    1	0	10254	8765	   10553 
HYD	3.06000000e+004	  3.000000e+002	%1.14	    2	0	8715	8765	   10553 
HYD	3.09000000e+004	  3.000000e+002	%1.15	    1	0	10254	6439	   10553 
HYD	3.09000000e+004	  3.000000e+002	%1.15	    2	0	8781	8765	   10553 
HYD	3.12000000e+004	  3.000000e+002	%1.16	    1	0	8735	6439	   10553 
HYD	3.12000000e+004	  3.000000e+002	%1.16	    2	0	8550	8765	   10553 
HYD	3.15000000e+004	  3.000000e+002	%1.18	    1	0	8735	6192	   10553 
HYD	3.15000000e+004	  3.000000e+002	%1.18	    2	0	8688	8765	   10553 
HYD	3.18000000e+004	  3.000000e+002	%1.19	    1	0	8735	6192	   10553 
HYD	3.18000000e+004	  3.000000e+002	%1.19	    2	0	10341	8765	   10553 
HYD	3.21000000e+004	  3.000000e+002	%1.20	    1	0	8765	6192	   10553 
HYD	3.24000000e+004	  3.000000e+002	%1.21	    1	0	10305	6192	   10553 
HYD	3.24000000e+004	  3.000000e+002	%1.21	    2	0	8631	8826	   10553 
HYD	3.27000000e+004	  3.000000e+002	%1.22	    1	0	10335	6192	   10553 
HYD	3.30000000e+004	  3.000000e+002	%1.23	    1	0	10335	6192	   10553 
HYD	3.30000000e+004	  3.000000e+002	%1.23	    2	0	10389	8858	   10553 
HYD	3.33000000e+004	  3.000000e+002	%1.24	    1	0	10335	6192	   10553 
HYD	3.33000000e+004	  3.000000e+002	%1.24	    2	0	8600	4474	   10553 
HYD	3.36000000e+004	  3.000000e+002	%1.25	    1	0	10335	6192	   10553 
HYD	3.36000000e+004	  3.000000e+002	%1.25	    2	0	5743	4474	   10553 
HYD	3.39000000e+004	  3.000000e+002	%1.27	    1	0	10335	10283	   10553 
HYD	3.39000000e+004	  3.000000e+002	%1.27	    2	0	8421	4474	   10553 
HYD	3.42000000e+004	  3.000000e+002	%1.28	    1	0	10335	10254	   10553 
HYD	3.42000000e+004	  3.000000e+002	%1.28	    2	0	8653	4474	   10553 
HYD	3.45000000e+004	  3.000000e+002	%1.29	    1	0	10335	10254	   10553 
HYD	3.45000000e+004	  3.000000e+002	%1.29	    2	0	8552	4474	   10553 
HYD	3.48000000e+004	  3.000000e+002	%1.30	    1	0	10335	10254	   10553 
HYD	3.48000000e+004	  3.000000e+002	%1.30	    2	0	10190	4474	   10553 
